City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,13.8,scattered clouds
1,Lebu,CL,-37.6167,-73.65,58.78,70,52,12.93,broken clouds
2,Sitka,US,57.0531,-135.33,44.49,70,100,19.57,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,57.31,51,20,8.05,few clouds
4,Gubkinskiy,RU,64.434,76.5026,-5.84,87,72,16.55,broken clouds
5,Ushuaia,AR,-54.8,-68.3,58.66,33,0,5.75,clear sky
6,Ponta Do Sol,PT,32.6667,-17.1,69.71,85,100,1.12,overcast clouds
7,Barrow,US,71.2906,-156.7887,10.42,92,100,2.77,overcast clouds
8,Iwaki,JP,37.05,140.8833,59.68,90,9,8.48,clear sky
9,Hobart,AU,-42.8794,147.3294,52.27,75,75,0.0,broken clouds
10,Hithadhoo,MV,-0.6,73.0833,81.34,72,42,15.64,scattered clouds
11,Port Hedland,AU,-20.3167,118.5667,68.05,88,0,0.0,clear sky
12,Mezen,RU,65.8522,44.24,32.79,97,100,9.35,overcast clouds
13,Luderitz,NA,-26.6481,15.1594,59.05,86,0,9.57,clear sky
14,Bonthe,SL,7.5264,-12.505,79.09,80,8,5.44,clear sky
15,Port Augusta,AU,-32.5,137.7667,63.97,69,69,7.29,broken clouds
16,Xiangfan,CN,32.0422,112.1448,53.1,64,100,8.05,overcast clouds
17,Atuona,PF,-9.8,-139.0333,77.95,77,2,15.55,clear sky
18,Isangel,VU,-19.55,169.2667,73.51,88,100,6.91,overcast clouds
19,Port Macquarie,AU,-31.4333,152.9167,67.89,94,100,8.05,overcast clouds
20,San Lawrenz,MT,36.0553,14.204,62.85,92,100,10.65,overcast clouds
21,Yellowknife,CA,62.456,-114.3525,16.32,100,100,5.75,light snow
22,Dikson,RU,73.5069,80.5464,-8.7,100,96,5.5,overcast clouds
23,Kapaa,US,22.0752,-159.319,82.38,69,100,19.57,light rain
24,Vostok,RU,46.4856,135.8833,24.93,97,100,3.24,snow
25,Rikitea,PF,-23.1203,-134.9692,74.01,86,65,18.72,broken clouds
26,Boksitogorsk,RU,59.474,33.8485,45.52,72,53,16.58,broken clouds
27,Campana,AR,-34.1687,-58.9591,80.24,86,100,7.25,overcast clouds
28,Busselton,AU,-33.65,115.3333,53.33,75,79,10.92,broken clouds
29,Kulhudhuffushi,MV,6.6221,73.07,81.16,73,73,6.6,broken clouds
30,Upington,ZA,-28.4478,21.2561,73.78,21,0,14.97,clear sky
31,Pevek,RU,69.7008,170.3133,-0.92,97,100,5.44,light snow
32,Aktas,KZ,49.7789,72.9608,26.35,94,100,22.68,overcast clouds
33,Bluff,NZ,-46.6,168.3333,52.23,90,100,7.74,overcast clouds
34,Polovinnoye,RU,54.7914,65.9864,33.73,98,100,15.23,light snow
35,La Ronge,CA,55.1001,-105.2842,17.82,67,75,13.8,broken clouds
36,Saskylakh,RU,71.9167,114.0833,-17.86,99,99,6.02,overcast clouds
37,Mount Isa,AU,-20.7333,139.5,74.97,83,61,5.75,broken clouds
38,Norman Wells,CA,65.282,-126.8329,12.24,92,75,0.0,broken clouds
39,Shimoda,JP,34.6667,138.95,60.1,78,44,9.26,scattered clouds
40,Camacha,PT,33.0833,-16.3333,65.62,77,20,4.61,few clouds
41,Kaitangata,NZ,-46.2817,169.8464,59.81,49,86,3.18,overcast clouds
42,Mataura,NZ,-46.1927,168.8643,56.64,63,95,5.97,light rain
43,Husavik,IS,66.0449,-17.3389,36.81,79,85,8.28,overcast clouds
44,Grindavik,IS,63.8424,-22.4338,40.95,93,40,10.36,scattered clouds
45,Alofi,NU,-19.0595,-169.9187,80.49,69,40,14.97,scattered clouds
